
list-none-m,1,1000,1,3000,4139184,1379,29
list-none-s,1,1000,1,3000,4062282,1354,23
list-none-m,2,1000,1,6000,25759240,4293,4267
list-none-s,2,1000,1,6000,14544660,2424,1755
list-none-m,4,1000,1,12000,97292689,8107,23669
list-none-s,4,1000,1,12000,121805034,10150,30392
list-none-m,8,1000,1,24000,420001612,17500,117473
list-none-s,8,1000,1,24000,316837605,13201,69281
list-none-m,12,1000,1,36000,1215654496,33768,358226
list-none-s,12,1000,1,36000,1129453460,31373,305460
list-none-m,16,1000,1,48000,2204683767,45930,628491
list-none-s,16,1000,1,48000,2606971931,54311,789831
list-none-m,24,1000,1,72000,4967782334,68996,1467285
list-none-s,24,1000,1,72000,6168469281,85673,1783045
list-id-none,1,1,4,3,122497,40832,0
list-id-none,4,1,4,12,163753,13646,0
list-id-none,12,1,4,36,416862,11579,0
list-id-none,16,1,4,48,517489,10781,0
list-id-none,1,2,4,6,122058,20343,0
list-id-none,8,2,4,48,233979,4874,0
list-id-none,12,2,4,72,422533,5868,0
list-id-none,16,2,4,96,474662,4944,0
list-id-none,1,4,4,12,128537,10711,0
list-id-none,4,4,4,48,192474,4009,0
list-id-none,8,4,4,96,273015,2843,0
list-id-none,12,4,4,144,347585,2413,0
list-id-none,16,4,4,192,497650,2591,0
list-id-none,1,8,4,24,127271,5302,0
list-id-none,4,8,4,96,131239,1367,0
list-id-none,8,8,4,192,284655,1482,0
list-id-none,16,8,4,384,490338,1276,0
list-id-none,1,16,4,48,159888,3331,0
list-id-none,4,16,4,192,217064,1130,0
list-id-none,8,16,4,384,400498,1042,0
list-id-none,12,16,4,576,583430,1012,0
list-id-s,1,10,4,30,126521,4217,37
list-id-m,1,10,4,30,123819,4127,92
list-id-s,4,10,4,120,204822,1706,574
list-id-m,4,10,4,120,280014,2333,2619
list-id-s,8,10,4,240,419135,1746,2365
list-id-m,8,10,4,240,579602,2415,7237
list-id-s,12,10,4,360,653157,1814,5948
list-id-m,12,10,4,360,907842,2521,13205
list-id-s,16,10,4,480,899758,1874,9861
list-id-m,16,10,4,480,1104625,2301,13028
list-id-s,1,20,4,60,151210,2520,27
list-id-m,1,20,4,60,173321,2888,53
list-id-s,4,20,4,240,353354,1472,1603
list-id-m,4,20,4,240,435279,1813,2697
list-id-s,8,20,4,480,929437,1936,7310
list-id-m,8,20,4,480,1208550,2517,10346
list-id-s,12,20,4,720,1676147,2327,15146
list-id-m,12,20,4,720,1895824,2633,17495
list-id-s,16,20,4,960,2932414,3054,28867
list-id-m,16,20,4,960,2926277,3048,31413
list-id-s,1,40,4,120,220799,1839,29
list-id-m,1,40,4,120,227365,1894,46
list-id-s,4,40,4,480,960302,2000,2819
list-id-m,4,40,4,480,1163944,2424,3749
list-id-s,8,40,4,960,2636924,2746,12816
list-id-m,8,40,4,960,2968105,3091,14502
list-id-s,12,40,4,1440,4793646,3328,25872
list-id-m,12,40,4,1440,5212806,3620,28865
list-id-s,16,40,4,1920,9185667,4784,51948
list-id-m,16,40,4,1920,9023681,4699,54482
list-id-s,1,80,4,240,527421,2197,24
list-id-m,1,80,4,240,518207,2159,34
list-id-s,4,80,4,960,2943871,3066,5378
list-id-m,4,80,4,960,3075227,3203,5079
list-id-s,8,80,4,1920,7987493,4160,20160
list-id-m,8,80,4,1920,8161631,4250,20114
list-id-s,12,80,4,2880,15889013,5517,46263
list-id-m,12,80,4,2880,17351261,6024,51592
list-id-s,16,80,4,3840,34434988,8967,109373
list-id-m,16,80,4,3840,27547848,7173,87309
list-none-s,1,1000,4,3000,1350633,450,22
list-none-m,1,1000,4,3000,1381796,460,25
list-none-s,2,1000,4,6000,12845279,2140,678
list-none-m,2,1000,4,6000,10389515,1731,882
list-none-s,4,1000,4,12000,29086349,2423,3989
list-none-m,4,1000,4,12000,21358283,1779,3398
list-none-s,8,1000,4,24000,51070124,2127,10636
list-none-m,8,1000,4,24000,56773087,2365,12160
list-none-s,12,1000,4,36000,105304986,2925,25278
list-none-m,12,1000,4,36000,125066039,3474,30765
list-none-s,1,1000,8,3000,864391,288,22
list-none-m,1,1000,8,3000,910455,303,26
list-none-s,2,1000,8,6000,6944557,1157,263
list-none-m,2,1000,8,6000,6729516,1121,451
list-none-s,4,1000,8,12000,14973350,1247,1234
list-none-m,4,1000,8,12000,11802009,983,1342
list-none-s,8,1000,8,24000,20907996,871,3145
list-none-m,8,1000,8,24000,25566387,1065,4125
list-none-s,12,1000,8,36000,35967249,999,6809
list-none-m,12,1000,8,36000,44066029,1224,8650
list-none-s,1,1000,16,3000,611690,203,23
list-none-m,1,1000,16,3000,696194,232,26
list-none-s,2,1000,16,6000,3947923,657,169
list-none-m,2,1000,16,6000,4252936,708,256
list-none-s,4,1000,16,12000,7488111,624,455
list-none-m,4,1000,16,12000,6871065,572,582
list-none-s,8,1000,16,24000,10268964,427,1096
list-none-m,8,1000,16,24000,11834464,493,1415
list-none-s,12,1000,16,36000,15820314,439,2309
list-none-m,12,1000,16,36000,20324803,564,2968
