
list-none-none,1,10,1,30,121089,4036
list-none-none,1,100,1,300,149211,497
list-none-none,1,1000,1,3000,3918616,1306
list-none-none,1,10000,1,30000,691214400,23040
list-none-none,1,20000,1,60000,-710875011,-11847
list-none-none,2,1,1,6,154513,25752
list-none-none,2,10,1,60,150631,2510
list-none-none,2,100,1,600,200501,334
list-none-none,2,1000,1,6000,17849503,2974
list-none-none,8,1,1,24,245197,10216
list-none-none,12,1,1,36,317658,8823
list-none-none,2,1,1,6,150884,25147
list-i-none,2,1,1,6,153375,25562
list-d-none,2,1,1,6,69872,11645
list-il-none,2,1,1,6,152245,25374
list-d-none,2,1,1,6,161490,26915
list-none-none,4,1,1,12,170353,14196
list-il-none,4,1,1,12,181888,15157
list-none-none,8,1,1,24,242565,10106
list-il-none,8,1,1,24,219831,9159
list-d-none,12,1,1,36,317736,8826
list-none-none,2,2,1,12,142709,11892
list-i-none,2,2,1,12,178922,14910
list-d-none,2,2,1,12,134103,11175
list-il-none,2,2,1,12,117734,9811
list-d-none,4,2,1,24,155241,6468
list-d-none,4,2,1,24,121422,5059
list-none-none,8,2,1,48,254073,5293
list-none-none,2,4,1,24,150317,6263
list-i-none,2,4,1,24,162587,6774
list-d-none,2,4,1,24,155209,6467
list-d-none,2,4,1,24,165158,6881
list-i-none,4,4,1,48,148492,3093
list-none-none,8,4,1,96,262344,2732
list-d-none,8,4,1,96,225860,2352
list-d-none,8,4,1,96,228487,2380
list-none-none,12,4,1,144,307263,2133
list-d-none,12,4,1,144,1563076,10854
list-none-none,2,8,1,48,138204,2879
list-i-none,2,8,1,48,74674,1555
list-d-none,2,8,1,48,401049,8355
list-il-none,2,8,1,48,163762,3411
list-d-none,2,8,1,48,147263,3067
list-i-none,4,8,1,96,120116,1251
list-d-none,4,8,1,96,207405,2160
list-il-none,4,8,1,96,163699,1705
list-none-none,2,16,1,96,151348,1576
list-i-none,2,16,1,96,104677,1090
list-d-none,2,16,1,96,229613,2391
list-il-none,2,16,1,96,117856,1227
list-none-none,4,16,1,192,142059,739
list-d-none,4,16,1,192,365083,1901
list-d-none,8,16,1,384,627128,1633
list-d-none,12,16,1,576,911475,1582
list-i-none,2,32,1,192,151136,787
list-d-none,2,32,1,192,588501,3065
list-d-none,2,32,1,192,553789,2884
list-d-none,4,32,1,384,968339,2521
list-i-m,12,1,1,36,353989,9833
list-i-s,12,1,1,36,369870,10274
list-d-m,12,1,1,36,1174041,32612
list-d-s,12,1,1,36,333185,9255
list-l-m,12,1,1,36,350982,9749
list-l-s,12,1,1,36,376832,10467
list-il-m,12,1,1,36,345845,9606
list-il-s,12,1,1,36,332620,9239
list-d-m,12,1,1,36,316491,8791
list-d-s,12,1,1,36,340117,9447
list-id-m,12,1,1,36,327656,9101
list-id-s,12,1,1,36,306226,8506
list-idl-m,12,1,1,36,345952,9609
list-idl-s,12,1,1,36,341000,9472
list-i-m,12,2,1,72,299250,4156
list-i-s,12,2,1,72,298888,4151
list-d-m,12,2,1,72,361632,5022
list-d-s,12,2,1,72,345036,4792
list-l-m,12,2,1,72,361725,5023
list-l-s,12,2,1,72,338039,4694
list-il-m,12,2,1,72,303705,4218
list-il-s,12,2,1,72,319911,4443
list-d-m,12,2,1,72,374929,5207
list-d-s,12,2,1,72,353255,4906
list-id-m,12,2,1,72,325539,4521
list-id-s,12,2,1,72,331238,4600
list-idl-m,12,2,1,72,286671,3981
list-idl-s,12,2,1,72,358119,4973
list-i-m,12,4,1,144,307505,2135
list-i-s,12,4,1,144,350347,2432
list-d-m,12,4,1,144,496168,3445
list-d-s,12,4,1,144,354879,2464
list-l-m,12,4,1,144,337796,2345
list-l-s,12,4,1,144,453579,3149
list-il-m,12,4,1,144,367500,2552
list-il-s,12,4,1,144,365872,2540
list-d-m,12,4,1,144,515798,3581
list-d-s,12,4,1,144,350624,2434
list-id-m,12,4,1,144,512479,3558
list-id-s,12,4,1,144,366981,2548
list-idl-m,12,4,1,144,739608,5136
list-idl-s,12,4,1,144,597209,4147
list-i-m,12,8,1,288,614606,2134
list-i-s,12,8,1,288,403105,1399
list-d-m,12,8,1,288,1329963,4617
list-d-s,12,8,1,288,1654275,5744
