
add-none,1,100,200,112342,561,0
add-none,2,100,400,170043,425,0
add-none,4,100,800,230340,287,0
add-none,8,100,1600,353049,220,0
add-none,10,100,2000,471791,235,0
add-none,12,100,2400,582646,242,0
add-none,1,1000,2000,126315,63,0
add-none,2,1000,4000,167369,41,0
add-none,4,1000,8000,321742,40,-271
add-none,8,1000,16000,400195,25,-93
add-none,10,1000,20000,462496,23,-272
add-none,12,1000,24000,686871,28,898
add-none,1,10000,20000,329088,16,0
add-none,2,10000,40000,929204,23,-379
add-none,4,10000,80000,1816436,22,-5067
add-none,8,10000,160000,3934970,24,-2413
add-none,10,10000,200000,4776315,23,-1779
add-none,12,10000,240000,5811363,24,-1889
add-none,1,100000,200000,2201498,11,0
add-none,2,100000,400000,4852248,12,-4503
add-none,4,100000,800000,15978943,19,-19679
add-none,8,100000,1600000,37843171,23,-40647
add-none,10,100000,2000000,48060501,24,-40623
add-none,12,100000,2400000,55987024,23,-40305
add-yield-none,2,10,40,162438,4060,0
add-yield-none,4,10,80,213530,2669,1
add-yield-none,8,10,160,347735,2173,9
add-yield-none,12,10,240,479915,1999,15
add-yield-none,2,20,80,172012,2150,-3
add-yield-none,4,20,160,226945,1418,28
add-yield-none,8,20,320,361750,1130,64
add-yield-none,12,20,480,554241,1154,78
add-yield-none,2,40,160,201930,1262,0
add-yield-none,4,40,320,260828,815,74
add-yield-none,8,40,640,410950,642,67
add-yield-none,12,40,960,544471,567,210
add-yield-none,2,80,320,271233,847,0
add-yield-none,4,80,640,324259,506,78
add-yield-none,8,80,1280,459884,359,90
add-yield-none,12,80,1920,657231,342,188
add-yield-none,2,100,400,329539,823,21
add-yield-none,4,100,800,405793,507,94
add-yield-none,8,100,1600,496984,310,172
add-yield-none,12,100,2400,607617,253,46
add-yield-none,2,1000,4000,2094581,523,28
add-yield-none,4,1000,8000,2118490,264,81
add-yield-none,8,1000,16000,2249489,140,-411
add-yield-none,12,1000,24000,3021776,125,1
add-yield-none,2,10000,40000,19316449,482,88
add-yield-none,4,10000,80000,20104559,251,-159
add-yield-none,8,10000,160000,20401306,127,-1112
add-yield-none,12,10000,240000,25777499,107,-494
add-yield-none,2,100000,400000,142834301,357,-4980
add-yield-none,4,100000,800000,159989743,199,4183
add-yield-none,8,100000,1600000,209135847,130,-4689
add-yield-none,12,100000,2400000,254660616,106,-20926
add-yield-none,2,100,400,293776,734,14
add-none,2,100,400,136798,341,0
add-yield-none,3,100,600,297140,495,-14
add-none,3,100,600,144424,240,0
add-yield-none,4,100,800,322340,402,47
add-none,4,100,800,172915,216,0
add-yield-none,5,100,1000,371964,371,88
add-none,5,100,1000,183459,183,0
add-yield-none,6,100,1200,394628,328,122
add-none,6,100,1200,211993,176,0
add-yield-none,7,100,1400,603495,431,109
add-none,7,100,1400,241596,172,8
add-yield-none,8,100,1600,453017,283,30
add-none,8,100,1600,255819,159,0
add-yield-none,2,1000,4000,1546266,386,-64
add-none,2,1000,4000,181822,45,461
add-yield-none,3,1000,6000,1489611,248,36
add-none,3,1000,6000,216683,36,-23
add-yield-none,4,1000,8000,1550253,193,-9
add-none,4,1000,8000,234429,29,441
add-yield-none,5,1000,10000,1742222,174,4
add-none,5,1000,10000,264236,26,-580
add-yield-none,6,1000,12000,1944495,162,-194
add-none,6,1000,12000,341774,28,740
add-yield-none,7,1000,14000,1802223,128,84
add-none,7,1000,14000,373242,26,-238
add-yield-none,8,1000,16000,1864079,116,-32
add-none,8,1000,16000,443117,27,-14
add-yield-none,2,10000,40000,13858014,346,364
add-none,2,10000,40000,717695,17,-183
add-yield-none,3,10000,60000,13811195,230,291
add-none,3,10000,60000,1098601,18,-1539
add-yield-none,4,10000,80000,15070417,188,1
add-none,4,10000,80000,1328893,16,-2485
add-yield-none,5,10000,100000,14801682,148,-81
add-none,5,10000,100000,1688445,16,-3863
add-yield-none,6,10000,120000,16317539,135,-1232
add-none,6,10000,120000,3013591,25,-3651
add-yield-none,7,10000,140000,73742581,526,-2302
add-none,7,10000,140000,3532881,25,-310
add-yield-none,8,10000,160000,49749704,310,-2494
add-none,8,10000,160000,3993912,24,-2792
add-yield-none,2,100000,400000,170422826,426,-10276
add-none,2,100000,400000,6635766,16,-29896
add-yield-none,3,100000,600000,150556967,250,992
add-none,3,100000,600000,9825340,16,-22907
add-yield-none,4,100000,800000,205903050,257,26148
add-none,4,100000,800000,15119697,18,-60421
add-yield-none,5,100000,1000000,244574978,244,-43713
add-none,5,100000,1000000,19028448,19,-37012
add-yield-none,6,100000,1200000,203784926,169,-20389
add-none,6,100000,1200000,23744314,19,-68242
add-yield-none,7,100000,1400000,212595822,151,-21712
add-none,7,100000,1400000,26571381,18,-142550
add-yield-none,8,100000,1600000,306767837,191,-3647
add-none,8,100000,1600000,36107585,22,-15029
add-none,1,1,2,472169,236084,0
add-none,1,10,20,498738,24936,0
add-none,1,100,200,115134,575,0
add-none,1,1000,2000,133179,66,0
add-none,1,10000,20000,323007,16,0
add-none,1,100000,200000,2165287,10,0
add-yield-m,2,10000,40000,34031266,850,0
add-yield-c,2,1000,4000,7233761,1808,-1
add-yield-s,2,1000,4000,14997513,3749,0
add-yield-m,4,10000,80000,426182092,5327,0
add-yield-c,4,1000,8000,31506281,3938,-139
add-yield-s,4,1000,8000,16643411,2080,0
add-yield-m,8,10000,160000,696552351,4353,0
add-yield-c,8,1000,16000,81745389,5109,-1006
add-yield-s,8,1000,16000,46237390,2889,0
add-yield-m,12,10000,240000,1188836516,4953,0
add-yield-c,12,1000,24000,58906702,2454,-1305
add-yield-s,12,1000,24000,62049930,2585,0
add-none,1,10000,20000,343772,17,0
add-m,1,10000,20000,806706,40,0
add-s,1,10000,20000,404769,20,0
add-c,1,10000,20000,626883,31,0
add-none,2,10000,40000,792491,19,-831
add-m,2,10000,40000,3034282,75,0
add-s,2,10000,40000,3570126,89,0
add-c,2,10000,40000,2693352,67,-1543
add-none,4,10000,80000,1618193,20,-12273
add-m,4,10000,80000,16297412,203,0
add-s,4,10000,80000,16264168,203,0
add-c,4,10000,80000,5788231,72,1128
add-none,8,10000,160000,3346365,20,-7575
add-m,8,10000,160000,40805429,255,0
add-s,8,10000,160000,57012264,356,0
add-c,8,10000,160000,18984181,118,-22789
add-none,12,10000,240000,5103028,21,-14373
add-m,12,10000,240000,48359043,201,0
add-s,12,10000,240000,129794162,540,0
add-c,12,10000,240000,19325076,80,-12028
